T,beta_true,Hbeta_post,beta_map
12,1.0,1.0012937483219533,1.0
15,1.0,0.9488996871665474,1.0
12,1.0,1.4023776067590088,1.0
15,1.0,0.8776228237452404,1.0
11,1.0,1.4800558918966402,1.0
16,1.0,0.873341886658581,1.0
11,1.0,1.0772211902467403,1.0
16,1.0,0.9624751910301347,1.0
9,1.0,1.54913568525489,3.0
9,3.0,1.5481183913201249,3.0
9,3.0,1.466548751520314,3.0
8,3.0,1.2596489426190651,8.0
8,3.0,1.3039944219441668,8.0
8,3.0,1.2422492672100056,8.0
8,3.0,1.3021899187853738,8.0
8,3.0,1.2065816481574299,8.0
9,3.0,1.4559243507220379,3.0
8,3.0,1.1914223388564225,8.0
8,3.0,1.3412005710635309,8.0
8,3.0,1.1914223388564225,8.0
8,3.0,1.3424674845453117,8.0
8,3.0,1.3221996560780458,8.0
8,3.0,1.1584135123264876,8.0
8,3.0,1.2596489426190651,8.0
8,3.0,1.206987069788633,8.0
8,3.0,1.2068155332298458,8.0
9,3.0,1.6158175291040393,3.0
8,3.0,1.2594175609185918,8.0
8,3.0,1.341202807041575,8.0
8,3.0,1.243613246080872,8.0
8,3.0,1.1584135123264876,8.0
8,3.0,1.321804066230549,8.0
8,3.0,1.3221956900108334,8.0
8,3.0,1.1584135123264876,8.0
10,3.0,1.801671751021332,3.0
8,3.0,1.2594175609185918,8.0
8,3.0,1.2419473053007728,8.0
9,3.0,1.6757363558077145,3.0
9,3.0,1.5504061076557507,3.0
8,3.0,1.1584135123264876,8.0
8,3.0,1.2419473053007728,8.0
9,3.0,1.3835000212637492,3.0
9,3.0,1.3382020921034572,3.0
9,3.0,1.3682297282934572,3.0
9,3.0,1.6234318382728672,3.0
8,3.0,1.3409516851972043,8.0
8,3.0,1.1566671325171574,8.0
9,3.0,1.4585645256569557,3.0
9,3.0,1.733219730378861,3.0
8,3.0,1.1920208908930878,8.0
10,3.0,1.6806758050965023,8.0
8,3.0,1.1566671325171574,8.0
8,3.0,1.206987069788633,8.0
8,3.0,1.206987069788633,8.0
9,3.0,1.3838865222884027,3.0
8,3.0,1.2594175609185918,8.0
8,3.0,1.3412005710635309,8.0
8,3.0,1.321801142710527,8.0
8,3.0,1.2594175609185918,8.0
8,8.0,1.2065816481574299,8.0
8,8.0,1.3412005710635309,8.0
8,8.0,1.1914223388564225,8.0
8,8.0,1.1920208908930878,8.0
8,8.0,1.2068155332298458,8.0
8,8.0,1.2596489426190651,8.0
8,8.0,1.3221956900108334,8.0
8,8.0,1.2066849328707858,8.0
8,8.0,1.2596489426190651,8.0
